pc,bank/page,opcode,mnemonic,access_type,effective_address,address_class,subsystem,minimal_os_required,risk,width,bitmask,value_source,x_base/y_base,routine_label,interrupt_context,callers,engine_state_seen,notes,confidence
0x7108,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"STAA $3D,X",W,0x103D,HC11_REG,OTHER,NO_UNLESS_DEPENDENCY_PROVES,LOW,8,,A=0x03,X=0x1000,L7100,mainline/unknown,0xFC2C,,CPU INIT REG | indexed_resolved,high
0x710F,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"STAA $39,X",W,0x3039,HC11_REG,BOOT_WATCHDOG_CPU,YES,HIGH,8,,A=0xB8,X=0x3000,L7100,mainline/unknown,0xFC2C,,OPTION | OPTION REG | indexed_resolved,high
0x7113,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"STAA $24,X",W,0x3024,HC11_REG,BOOT_WATCHDOG_CPU,YES,HIGH,8,,A=0x03,X=0x3000,L7100,mainline/unknown,0xFC2C,,TMSK2 timer prescale/RTI mask | TMSK2 | indexed_resolved,high
0x7115,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"BCLR $38,X,#$20",RMW,0x3038,HC11_REG,BOOT_WATCHDOG_CPU,YES,HIGH,bit,0x20,clear 0x20,X=0x3000,L7100,mainline/unknown,0xFC2C,,"OPT2 | CLR b5, OPT2, 4X CLK OUT | indexed_resolved",high
0x711A,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"STAA $35,X",W,0x3035,HC11_REG,HC11_CORE,NO_UNLESS_DEPENDENCY_PROVES,LOW,8,,A=0x1B,X=0x3000,L7100,mainline/unknown,0xFC2C,,BPROT EEPROM block protect | BPROT | indexed_resolved,high
0x7120,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"STAA 0,X",W,0x3000,HC11_REG,BOOT_WATCHDOG_CPU,YES,HIGH,8,,A=0x00,X=0x3000,L7100,mainline/unknown,0xFC2C,,PORTA / timer pin status | indexed_resolved,high
0x7122,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"STAA $08,X",W,0x3008,HC11_REG,SENSOR_ADC,YES,HIGH,8,,A=0x00,X=0x3000,L7100,mainline/unknown,0xFC2C,,PORTE / ADC input port | indexed_resolved,high
0x7128,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,STD L306E,W,0x306E,UNKNOWN_HW,IO_LATCH_OUTPUT,YES,HIGH,16,,D,,L7100,mainline/unknown,0xFC2C,,External 306x I/O latch candidate,high
0x713A,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,STX L3FFC,W,0x3FFC,ASIC_3FXX,IO_LATCH_OUTPUT,YES,HIGH,16,,X,,L7100,mainline/unknown,0xFC2C,,ASIC I/O D port / external output latch | I/O D PORT ..,high
0x7140,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,LDD L3FFC,R,0x3FFC,ASIC_3FXX,IO_LATCH_OUTPUT,YES,MEDIUM,16,,memory,,L7100,mainline/unknown,0xFC2C,,ASIC I/O D port / external output latch | I/O D PORT ..,high
0x714A,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,STD L3FFC,W,0x3FFC,ASIC_3FXX,IO_LATCH_OUTPUT,YES,HIGH,16,,D,,L7100,mainline/unknown,0xFC2C,,ASIC I/O D port / external output latch | I/O D PORT ..,high
0x7150,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"LDD $2E,X",R,0x302E,ALDL,ALDL_SCI,YES,MEDIUM,16,,memory,X=0x3000,L7100,mainline/unknown,0xFC2C,SCI,"SCSR SCI status | SCSR, GET SCI STATUS & RX BYTE | indexed_resolved",high
0x7154,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"STAB $2D,X",W,0x302D,ALDL,ALDL_SCI,YES,HIGH,8,,B=0x26,X=0x3000,L7100,mainline/unknown,0xFC2C,SCI,SCCR2 SCI control 2 | SCI CNT'L REG #2 | indexed_resolved,high
0x715B,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"STD 0,X",W,0x3FC0-0x3FF8,ASIC_3FXX,OTHER,NO_UNLESS_DEPENDENCY_PROVES,LOW,16,,D,X=0x3FC0,L7100,mainline/unknown,0xFC2C,,loop clears even ASIC words from $3FC0 through before $3FFA | ASIC last DRP/ref period counter | indexed_resolved,medium_range_inferred
0x71BD,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,STX L3FFC,W,0x3FFC,ASIC_3FXX,IO_LATCH_OUTPUT,YES,HIGH,16,,X,,L7100,mainline/unknown,0xFC2C,,ASIC I/O D port / external output latch | I/O D PORT ..,high
0x71C6,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,LDAA L303F,R,0x303F,HC11_REG,BOOT_WATCHDOG_CPU,YES,MEDIUM,8,,memory,,L7100,mainline/unknown,0xFC2C,,CONFIG/EPROM config candidate,high
0x71EF,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,LDD L3FFC,R,0x3FFC,ASIC_3FXX,IO_LATCH_OUTPUT,YES,MEDIUM,16,,memory,,L7100,mainline/unknown,0xFC2C,,ASIC I/O D port / external output latch | I/O D PORT ..,high
0x71F7,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,STD L3FFC,W,0x3FFC,ASIC_3FXX,IO_LATCH_OUTPUT,YES,HIGH,16,,D,,L7100,mainline/unknown,0xFC2C,,ASIC I/O D port / external output latch | I/O D PORT ..,high
0x741F,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,LDD L3FCA,R,0x3FCA,ASIC_3FXX,ASIC_STATUS_REF,YES,MEDIUM,16,,memory,,L7100,mainline/unknown,0xFC2C,,ASIC 16-bit RPM/event counter,high
0x7425,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,LDD L3012,R,0x3012,HC11_REG,HC11_CORE,NO_UNLESS_DEPENDENCY_PROVES,LOW,16,,memory,,L7100,mainline/unknown,0xFC2C,,TIC2 | GET TIC 2 VALUE,high
